iter	Passed	Remaining
881	1456	194
882	1457	193
883	1459	191
884	1460	189
885	1462	188
886	1463	186
887	1465	184
888	1467	183
889	1468	181
890	1469	179
891	1471	178
892	1473	176
893	1474	174
894	1476	173
895	1477	171
896	1479	169
897	1481	168
898	1482	166
899	1484	164
900	1485	163
901	1487	161
902	1489	159
903	1490	158
904	1492	156
905	1493	154
906	1495	153
907	1496	151
908	1498	149
909	1500	148
910	1501	146
911	1503	145
912	1504	143
913	1506	141
914	1508	140
915	1509	138
916	1511	136
917	1513	135
918	1514	133
919	1516	131
920	1517	130
921	1519	128
922	1521	126
923	1522	125
924	1523	123
925	1525	121
926	1527	120
927	1528	118
928	1530	116
929	1531	115
930	1533	113
931	1534	111
932	1536	110
933	1537	108
934	1539	107
935	1541	105
936	1542	103
937	1544	102
938	1546	100
939	1547	98
940	1548	97
941	1550	95
942	1551	93
943	1553	92
944	1555	90
945	1556	88
946	1557	87
947	1559	85
948	1561	83
949	1562	82
950	1564	80
951	1565	78
952	1567	77
953	1569	75
954	1570	74
955	1572	72
956	1574	70
957	1575	69
958	1577	67
959	1578	65
960	1580	64
961	1582	62
962	1583	60
963	1585	59
964	1586	57
965	1588	55
966	1589	54
967	1591	52
968	1593	50
969	1594	49
970	1596	47
971	1597	46
972	1599	44
973	1601	42
974	1603	41
975	1604	39
976	1606	37
977	1607	36
978	1609	34
979	1610	32
980	1612	31
981	1614	29
982	1615	27
983	1617	26
984	1618	24
985	1620	23
986	1622	21
987	1623	19
988	1625	18
989	1626	16
990	1628	14
991	1629	13
992	1631	11
993	1633	9
994	1634	8
995	1636	6
996	1637	4
997	1639	3
998	1641	1
999	1642	0
